city,district,voivodeship,area,population,density,lat,lng
Warszawa,m. st. Warszawa[a],mazowieckie,517.24,1735442,3355,52.2296756,21.012228700000037
Kraków,Kraków[a],małopolskie,326.85,761873,2331,50.06465009999999,19.94497990000002
Łódź,Łódź[a],łódzkie,293.25,706004,2408,51.7592485,19.45598330000007
Wrocław,Wrocław[a],dolnośląskie,292.82,634487,2167,51.1078852,17.03853760000004
Poznań,Poznań[a],wielkopolskie,261.91,545680,2083,52.406374,16.925168100000064
Gdańsk,Gdańsk[a],pomorskie,261.96,461489,1762,54.35202520000001,18.64663840000003
Szczecin,Szczecin[a],zachodniopomorskie,300.55,407180,1355,53.4285438,14.552811600000041
Bydgoszcz,Bydgoszcz[a],kujawsko-pomorskie,175.98,357652,2032,53.12348040000001,18.008437800000024
Lublin,Lublin[a],lubelskie,147.47,341722,2317,51.2464536,22.568446300000005
Katowice,Katowice[a],śląskie,164.64,301834,1833,50.26489189999999,19.02378150000004
Białystok,Białystok[a],podlaskie,102.13,295459,2893,53.13248859999999,23.168840300000056
Gdynia,Gdynia[a],pomorskie,135.14,247820,1834,54.5188898,18.530540900000005
Częstochowa,Częstochowa[a],śląskie,159.71,230123,1441,50.8118195,19.120309399999996
Radom,Radom[a],mazowieckie,111.80,217201,1943,51.40272359999999,21.14713329999995
Sosnowiec,Sosnowiec[a],śląskie,91.06,209274,2298,50.28626380000001,19.104079100000035
Toruń,Toruń[a],kujawsko-pomorskie,115.72,203158,1756,53.0137902,18.59844369999996
Kielce,Kielce[a],świętokrzyskie,109.65,198857,1814,50.8660773,20.628567699999962
Rzeszów,Rzeszów[a],podkarpackie,116.36,185123,1591,50.0411867,21.999119599999972
Gliwice,Gliwice[a],śląskie,133.88,184415,1377,50.29449229999999,18.67138019999993
Zabrze,Zabrze[a],śląskie,80.40,177188,2204,50.3249278,18.785718599999996
Olsztyn,Olsztyn[a],warmińsko-mazurskie,88.33,173831,1968,53.778422,20.48011930000007
Bielsko-Biała,Bielsko-Biała[a],śląskie,124.51,173013,1390,49.8223768,19.05838449999999
Bytom,Bytom[a],śląskie,69.44,172306,2481,50.3483816,18.915717500000028
Ruda Śląska,Ruda Śląska[a],śląskie,77.73,140669,1810,50.2558286,18.855570400000033
Rybnik,Rybnik[a],śląskie,148.36,140052,944,50.1021742,18.5462847
Zielona Góra,Zielona Góra[a],lubuskie,278.32,138512,498,51.9356214,15.506186200000002
Tychy,Tychy[a],śląskie,81.81,128621,1572,50.12180069999999,19.02000220000002
Gorzów Wielkopolski,Gorzów Wielkopolski[a],lubuskie,85.72,124145,1448,52.7325285,15.236930499999971
Dąbrowa Górnicza,Dąbrowa Górnicza[a],śląskie,188.73,123376,654,50.3216897,19.194912599999952
Elbląg,Elbląg[a],warmińsko-mazurskie,79.82,122368,1533,54.1560613,19.4044897
Płock,Płock[a],mazowieckie,88.04,122224,1388,52.5463446,19.706536400000005
Opole,Opole[a],opolskie,96.55,119574,1238,50.6751067,17.921297600000003
Wałbrzych,Wałbrzych[a],dolnośląskie,84.70,116691,1378,50.7840092,16.284355300000016
Włocławek,Włocławek[a],kujawsko-pomorskie,84.32,113939,1351,52.6483303,19.067735699999957
Tarnów,Tarnów[a],małopolskie,72.38,111376,1539,50.0121011,20.98584070000004
Chorzów,Chorzów[a],śląskie,33.24,110337,3319,50.2974884,18.95457280000005
Koszalin,Koszalin[a],zachodniopomorskie,98.34,108605,1104,54.1943219,16.171490800000015
Kalisz,Kalisz[a],wielkopolskie,69.42,103373,1489,51.76727990000001,18.085346200000004
Legnica,Legnica[a],dolnośląskie,56.29,101343,1800,51.2070067,16.155323100000032
Grudziądz,Grudziądz[a],kujawsko-pomorskie,57.76,97176,1682,53.4837486,18.75356499999998
Jaworzno,Jaworzno[a],śląskie,152.59,93331,612,50.204987,19.273931400000038
Słupsk,Słupsk[a],pomorskie,43.15,93206,2160,54.46414799999999,17.02848240000003
Jastrzębie-Zdrój,Jastrzębie-Zdrój[a],śląskie,85.33,90794,1064,49.9454207,18.610110299999974
Nowy Sącz,Nowy Sącz[a],małopolskie,57.58,83853,1456,49.6174535,20.71533260000001
Jelenia Góra,Jelenia Góra[a],dolnośląskie,109.22,81408,745,50.9044171,15.719361599999957
Siedlce,Siedlce[a],mazowieckie,31.86,76603,2404,52.1676031,22.290164499999946
Konin,Konin[a],wielkopolskie,82.20,76547,931,52.2230334,18.251072900000054
Piotrków Trybunalski,Piotrków Trybunalski[a],łódzkie,67.24,75608,1124,51.40517209999999,19.703024400000004
Mysłowice,Mysłowice[a],śląskie,65.62,75037,1144,50.2080466,19.166051299999936
Inowrocław,inowrocławski,kujawsko-pomorskie,30.42,74564,2451,52.7993317,18.256203200000073
Piła,pilski,wielkopolskie,102.68,74333,724,53.1509671,16.73822659999996
Lubin,lubiński,dolnośląskie,40.77,73658,1807,51.39772199999999,16.20957880000003
