city,district,voivodeship,area,population,density,lat,lng
Warszawa,m. st. Warszawa[a],mazowieckie,517.24,1735442,3355,52.2296756,21.012228700000037
Kraków,Kraków[a],małopolskie,326.85,761873,2331,50.06465009999999,19.94497990000002
Łódź,Łódź[a],łódzkie,293.25,706004,2408,51.7592485,19.45598330000007
Wrocław,Wrocław[a],dolnośląskie,292.82,634487,2167,51.1078852,17.03853760000004
Poznań,Poznań[a],wielkopolskie,261.91,545680,2083,52.406374,16.925168100000064
Gdańsk,Gdańsk[a],pomorskie,261.96,461489,1762,54.35202520000001,18.64663840000003
Szczecin,Szczecin[a],zachodniopomorskie,300.55,407180,1355,53.4285438,14.552811600000041
Bydgoszcz,Bydgoszcz[a],kujawsko-pomorskie,175.98,357652,2032,53.12348040000001,18.008437800000024
Lublin,Lublin[a],lubelskie,147.47,341722,2317,51.2464536,22.568446300000005
Katowice,Katowice[a],śląskie,164.64,301834,1833,50.26489189999999,19.02378150000004
Białystok,Białystok[a],podlaskie,102.13,295459,2893,53.13248859999999,23.168840300000056
Gdynia,Gdynia[a],pomorskie,135.14,247820,1834,54.5188898,18.530540900000005
Częstochowa,Częstochowa[a],śląskie,159.71,230123,1441,50.8118195,19.120309399999996
Radom,Radom[a],mazowieckie,111.80,217201,1943,51.40272359999999,21.14713329999995
Sosnowiec,Sosnowiec[a],śląskie,91.06,209274,2298,50.28626380000001,19.104079100000035
Toruń,Toruń[a],kujawsko-pomorskie,115.72,203158,1756,53.0137902,18.59844369999996
